sample_id	sample_file	batch
SC_88_s1-h6_1_7798	SC_88_s1-h6_1_7798	3
SC_88_s1-h6_1_7895	SC_88_s1-h6_1_7895	4
SC_88_s2-h6_1_7701	SC_88_s2-h6_1_7701	2
SC_89_s1-h7_1_7799	SC_89_s1-h7_1_7799	3
SC_89_s1-h7_1_7896	SC_89_s1-h7_1_7896	4
SC_89_s2-h7_1_7702	SC_89_s2-h7_1_7702	2
SC_90_s1-h8_1_7800	SC_90_s1-h8_1_7800	3
SC_90_s1-h8_1_7897	SC_90_s1-h8_1_7897	4
SC_90_s2-h8_1_7703	SC_90_s2-h8_1_7703	2
SC_91_s1-h9_1_7801	SC_91_s1-h9_1_7801	3
SC_91_s1-h9_1_7898	SC_91_s1-h9_1_7898	4
SC_91_s2-h9_1_7704	SC_91_s2-h9_1_7704	2
SC_92_s1-h10_1_7802	SC_92_s1-h10_1_7802	3
SC_92_s1-h10_1_7899	SC_92_s1-h10_1_7899	4
SC_92_s2-h10_1_7705	SC_92_s2-h10_1_7705	2
SC_93_s1-h11_1_7803	SC_93_s1-h11_1_7803	3
SC_93_s1-h11_1_7900	SC_93_s1-h11_1_7900	4
SC_93_s2-h11_1_7706	SC_93_s2-h11_1_7706	2
SC_94_s1-h12_1_7804	SC_94_s1-h12_1_7804	3
SC_94_s1-h12_1_7901	SC_94_s1-h12_1_7901	4
SC_94_s2-h12_1_7707	SC_94_s2-h12_1_7707	2
